Restaurante,Ciudad,Categoría,Precio_Conver,Precio,Teléfono,Dirección,Reseñas,Valoración,Web,Menú,Email,Imagen
Pasta-Go Alton Road,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-397-8624,"1040 Alton Road, Miami Beach, FL 33139",815 opiniones,"4,5",http://pastago.us/contact/,https://www.tripadvisor.es/Restaurant_Review-g34439-d3446245-Reviews-Pasta_Go_Alton_Road-Miami_Beach_Florida.html#,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/18/ef/70/c7/carbonara.jpg
Pasta-Go Ocean Drive,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-454-8166,"444 Ocean Dr, Miami Beach, FL 33139-6614",32 opiniones,"4,5",http://www.pastago.us/,No disponible,alessandro@gelatogo.net,https://media-cdn.tripadvisor.com/media/photo-s/1a/19/1f/3d/pasta.jpg
Piadina 305,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-414-0942,"95 NE 40th St, Miami, FL 33137-3509",2 opiniones,"5,0",http://piadina305.com/,https://www.piadina305.com/menu-1,alex@piadina305.com,https://media-cdn.tripadvisor.com/media/photo-s/1c/a8/3d/28/the-classic-piadina.jpg
Piccola Cucina,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-535-3129,"440 Espanola Way, Miami Beach, FL 33139-8123",460 opiniones,"3,5",No disponible,No disponible,piccolacucina.mia@gmail.com,https://media-cdn.tripadvisor.com/media/photo-s/04/24/fb/03/piccola-cucina.jpg
Piccola Italia Pizza,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-856-7744,"2389 Coral Way Fl 33145, Coral Gables, FL 33145",3 opiniones,"4,5",https://www.piccolaitaliamiami.com/,No disponible,jpmee2006@yahoo.com,https://media-cdn.tripadvisor.com/media/photo-s/19/1d/e1/cb/20190902-083153-largejpg.jpg
Piola Miami Brickell,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-374-0031,"1250 S Miami Ave Corner of SW 13 St, Miami, FL 33130",369 opiniones,"4,0",No disponible,https://www.tripadvisor.es/Restaurant_Review-g34438-d1764229-Reviews-Piola_Miami_Brickell-Miami_Florida.html#,piolabrickell@piolausa.com,https://media-cdn.tripadvisor.com/media/photo-s/17/43/a2/23/diavola-pizza-spicy-salami.jpg
Piola Mid Beach,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 786-803-8825,"4000 Collins Ave Suite B, Miami Beach, FL 33140-3701",13 opiniones,"4,5",No disponible,No disponible,piolamidbeach@piolausa.com,https://media-cdn.tripadvisor.com/media/photo-s/26/85/62/cb/caption.jpg
Pizza Mia Gourmet,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-517-6200,"2100 NW 107th Ave # 111, Miami, FL 33172-2510",4 opiniones,"4,5",No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/17/61/ee/3d/excellent-variety-of.jpg
Pizza Pazza,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 786-762-2238,"275 NE 18th St Ste 109, Miami, FL 33132-1117",175 opiniones,"4,5",No disponible,No disponible,pizzapazzaing@gmail.com,https://media-cdn.tripadvisor.com/media/photo-w/1c/87/ac/6e/calabria-pepperoni-pizza.jpg
Pizza Tropical,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 855-732-8992,"176 NW 24th St, Miami, FL 33127-4414",6 opiniones,"4,0",No disponible,No disponible,contact@pizzatropical.com,https://media-cdn.tripadvisor.com/media/photo-s/0e/b8/0d/a6/abuelita-s.jpg
Pizzaiola Miami,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 786-409-6968,"130 Beacom Blvd, Miami, FL 33135-1534",2 opiniones,"3,0",http://www.pizzaiolamiami.com/,No disponible,contact@pizzaiolamiami.com,https://media-cdn.tripadvisor.com/media/photo-s/1a/fd/6f/22/octolana-tomato-sauce.jpg
Pizzette,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 786-238-7995,"1223 Lincoln Rd, Miami Beach, FL 33139-2314",34 opiniones,"5,0",http://www.pizzette-miami.com/,http://www.pizzette-miami.com/menu/,contact@pizzettemiami.com,https://media-cdn.tripadvisor.com/media/photo-s/1b/5f/2b/ba/bolognese.jpg
Pompei Osteria Napoletana,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 786-359-4323,"432 Espanola Way, Miami Beach, FL 33139-8123",854 opiniones,"4,5",No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/15/5a/a0/59/pic-7.jpg
Ponte Vecchio Ristorante e Pizzeria,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 786-313-3800,"2250 Coral Way, Miami, FL 33145-3509",51 opiniones,"4,5",No disponible,No disponible,manager@pontevecchiomiami.com,https://media-cdn.tripadvisor.com/media/photo-s/0f/37/8f/42/plenty-of-charming-dining.jpg
Portobello Restaurant,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-377-3322,"56 Biscayne Blvd, Miami, FL 33132-2900",11 opiniones,"3,5",No disponible,No disponible,No disponible,No disponible
Portobello Restaurant,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-445-0093,"2841 Coral Way, Coral Gables, FL 33145-3203",20 opiniones,"4,0",No disponible,https://www.tripadvisor.es/Restaurant_Review-g34152-d466644-Reviews-Portobello_Restaurant-Coral_Gables_Florida.html#,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/13/f6/53/3b/ta-img-20180802-131621.jpg
Portosole,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 786-359-4275,"2530 Ponce de Leon Boulevard, Coral Gables, FL 33134",21 opiniones,"4,0",https://portosolemiami.com/,https://portosolemiami.com/menu,info@portosolemiami.com,https://media-cdn.tripadvisor.com/media/photo-s/1d/2c/29/5b/caption.jpg
Preston's Market,Miami,Francesa,Moderado-Alto,€€ - €€€,+1 305-582-5374,"1601 Collins Ave Loews Miami Beach Hotel, Miami Beach, FL 33139-3112",156 opiniones,"4,0",No disponible,No disponible,miamiconcierge@loewshotels.com,https://media-cdn.tripadvisor.com/media/photo-s/06/e2/7c/2e/breakfast-view.jpg
Primo's Italian Restaurant & Lounge,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-371-9055,"1717 North Bayshore Drive The Grand DoubleTree Hotel, Miami, FL 33132",402 opiniones,"4,0",No disponible,https://www.tripadvisor.es/Restaurant_Review-g34438-d1974663-Reviews-Primo_s_Italian_Restaurant_Lounge-Miami_Florida.html#,primosrestaurantmiami@gmail.com,https://media-cdn.tripadvisor.com/media/photo-s/26/e3/4b/5e/primo-s-classic-meatballs.jpg
Propaganda,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 786-615-2555,"97 Northwest 25 St, Miami, FL 33127-4476",11 opiniones,"4,5",No disponible,No disponible,reservations@propagandamiami.com,https://media-cdn.tripadvisor.com/media/photo-p/1c/57/cf/a7/photo0jpg.jpg
Pubbelly Noodle Bar,Miami,Internacional,Moderado-Alto,€€ - €€€,+1 305-532-7555,"1418 20th Street, Miami Beach, FL 33139",362 opiniones,"4,5",http://pubbellyglobal.com/restaurants/pubbelly-noodle-bar/,http://pubbellyglobal.com/wp-content/uploads/2018/06/Updated-Noodle-menu.pdf,info@pubbelly.com,https://media-cdn.tripadvisor.com/media/photo-p/0a/a4/7f/93/softshell-crab-benedicts.jpg
Pummarola Midtown,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 786-535-4988,"3328 N Miami Ave, Miami, FL 33127-3524",170 opiniones,"5,0",No disponible,No disponible,info@pummarola.us,https://media-cdn.tripadvisor.com/media/photo-s/17/3f/36/ef/pizza-crema-di-tartufo.jpg
Red Carpet Italian Restaurant,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-529-4220,"3438 SW 8th St Flamingo Plaza, Miami, FL 33135-4108",141 opiniones,"5,0",No disponible,No disponible,redcarpetitalianrestaurant@gmail.com,https://media-cdn.tripadvisor.com/media/photo-s/1c/ac/a2/1a/seafood-risotto.jpg
Red Carpet Italian Restaurant Downtown,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 786-618-9138,"69 E Flagler St, Miami, FL 33131-1003",2 opiniones,"5,0",No disponible,No disponible,redcarpetitalianrestaurant2@gmail.com,https://media-cdn.tripadvisor.com/media/photo-s/1c/ac/a1/13/pappardelle-ai-funghi.jpg
Restaurante Montecatini Miami,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 786-524-4044,"14211 SW 42nd St Unit 33-A, Miami, FL 33175-6408",17 opiniones,"4,0",No disponible,No disponible,montecatinirestaurants@gmail.com,https://media-cdn.tripadvisor.com/media/photo-s/1b/07/0a/aa/montecatini-restaurant.jpg
Rice House of Kabob,Miami,Mediterránea,Moderado-Alto,€€ - €€€,+1 305-418-9464,"1450 NW 87th Ave, Miami, FL 33172-3004",33 opiniones,"3,5",http://www.ricehouseofkabob.com/,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/07/8b/8f/3a/joojeh-chicken-lunch.jpg
Rincon Espanol,Miami,Española,Moderado-Alto,€€ - €€€,+1 305-740-5858,"9511 S Dixie Hwy, Miami, FL 33156-2802",55 opiniones,"4,0",http://www.rinconespanolmiami.com/,https://www.tripadvisor.es/Restaurant_Review-g34438-d1102473-Reviews-Rincon_Espanol-Miami_Florida.html#,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/0b/bc/e7/cb/photo0jpg.jpg
Rincón Porteño,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-225-7440,"12214 SW 8th St, Miami, FL 33184-1552",9 opiniones,"4,5",No disponible,No disponible,sales@rinconportenomiami.com,https://media-cdn.tripadvisor.com/media/photo-s/1b/67/1d/89/rincon-porteno-entrance.jpg
Ristorante Terramia,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 786-801-1854,"4770 Biscayne Blvd #110, Miami, FL 33137-3202",41 opiniones,"4,5",No disponible,No disponible,info@terramiabiscayne.com,https://media-cdn.tripadvisor.com/media/photo-p/13/23/f8/5b/photo0jpg.jpg
Riviera Focacceria Italiana,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 786-220-6251,"3252 NE Buena Vista Avenue Suite 110, Miami, FL 33137",218 opiniones,"4,5",No disponible,https://www.tripadvisor.es/Restaurant_Review-g34438-d6610209-Reviews-Riviera_Focacceria_Italiana-Miami_Florida.html#,No disponible,https://media-cdn.tripadvisor.com/media/photo-p/11/b8/0f/0f/photo0jpg.jpg
Rosetta Bakery,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-907-7705,"550 NW 1st Ave Suite 240-C15, Miami, FL 33136-4122",9 opiniones,"4,5",No disponible,No disponible,tb@rosettabakery.com,https://media-cdn.tripadvisor.com/media/photo-p/19/d9/d7/01/photo0jpg.jpg
Rosinella,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-672-8777,"525 Lincoln Rd, Miami Beach, FL 33139-2913",971 opiniones,"4,0",http://www.rosinella.net/,https://www.tripadvisor.es/Restaurant_Review-g34439-d438231-Reviews-Rosinella-Miami_Beach_Florida.html#,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/0f/28/0d/9a/photo3jpg.jpg
Rotelli,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 561-355-0525,"11401 NW 12th St # E-500 Dolphin Mall, Miami, FL 33172-6904",135 opiniones,"3,5",No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/0e/7b/24/21/photo0jpg.jpg
Sagra Pizza Bar,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-384-4759,"11052 Biscayne Blvd, Miami, FL 33161-7462",16 opiniones,"4,0",No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/1c/cd/2f/b1/20210330-194628-largejpg.jpg
Salumeria 104,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-424-9588,"3451 NE 1st Ave #104, Miami, FL 33137-3984",384 opiniones,"4,5",No disponible,No disponible,info@graspagroup.com,https://media-cdn.tripadvisor.com/media/photo-s/10/d8/9a/29/outdoor-seating.jpg
Salumeria 104,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-640-5547,"117 Miracle Mile, Coral Gables, FL 33134-5405",74 opiniones,"4,5",http://www.salumeria104.com/,No disponible,info@salumeria104.com,https://media-cdn.tripadvisor.com/media/photo-s/13/d5/c1/e4/salumeria-104.jpg
Sancho Restaurant,Miami,Mediterránea,Moderado-Alto,€€ - €€€,+1 305-553-6886,"13202 SW 8th St, Miami, FL 33184-1176",65 opiniones,"4,5",http://www.sanchorestaurant.com/,http://www.sanchorestaurantmiami.com/menu/,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/06/3e/6f/f2/fabada-asturiana.jpg
Sapore Di Mare,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-476-8292,"3111 Grand Ave Coconut Grove, Miami, FL 33133-5103",298 opiniones,"4,5",http://www.saporedimare.com/,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-p/19/5b/13/17/photo0jpg.jpg
Sardinia Enoteca Ristorante,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-531-2228,"1801 Purdy Ave, Miami Beach, FL 33139-1425",534 opiniones,"4,0",http://www.sardinia-ristorante.com/,http://www.sardinia-ristorante.com/menu,mb@sardinia-ristorante.com,https://media-cdn.tripadvisor.com/media/photo-s/12/2b/5b/92/main-dining-room.jpg
Schnebly Winery,Miami,Internacional,Moderado-Alto,€€ - €€€,+1 305-242-1224,"30205 SW 217th Ave Homested FL 33030, Miami, FL",41 opiniones,"3,5",http://www.schneblywinery.com/,http://www.schneblywinery.com/Restaurant/Menu-Lunch,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/17/66/72/5c/photo8jpg.jpg
Segafredo L'Originale,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-673-0047,"1040 Lincoln Rd, Miami Beach, FL 33139-2502",358 opiniones,"4,0",No disponible,https://www.tripadvisor.es/Restaurant_Review-g34439-d431998-Reviews-Segafredo_L_Originale-Miami_Beach_Florida.html#,info@graspagroup.com,https://media-cdn.tripadvisor.com/media/photo-s/23/90/9c/0e/exterior-of-segafredo.jpg
Semilla,Miami,Francesa,Moderado-Alto,€€ - €€€,+1 305-674-6522,"1330 Alton Road, Miami Beach, FL 33139",135 opiniones,"4,5",https://www.semillamiami.com/,https://www.tripadvisor.es/Restaurant_Review-g34439-d5519689-Reviews-Semilla-Miami_Beach_Florida.html#,frederic@semillamiami.com,https://media-cdn.tripadvisor.com/media/photo-s/16/c1/2c/5e/semilla.jpg
Sette Osteria,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-576-8282,"2103 NW 2nd Ave, Miami, FL 33127-4826",37 opiniones,"4,0",No disponible,https://www.tripadvisor.es/Restaurant_Review-g34438-d14204847-Reviews-Sette_Osteria-Miami_Florida.html#,No disponible,https://media-cdn.tripadvisor.com/media/photo-p/1a/d9/1f/ce/photo0jpg.jpg
Seventeen Restaurant,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-672-0565,"1710 Alton Rd, Miami Beach, FL 33139-2412",11 opiniones,"4,0",http://www.17restaurant.com/,http://www.17restaurant.com/menu/17R_Menu_South_Beach.pdf,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/16/7c/a2/a3/the-best-apple-cake.jpg
Shalom-Haifa Restaurant,Miami,Mediterránea,Moderado-Alto,€€ - €€€,+1 305-936-1800,"18533 W Dixie Hwy, Miami, FL 33180-2614",29 opiniones,"4,0",http://www.shalomhaifa.com/,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-p/13/84/59/bb/photo0jpg.jpg
Shiraz Bistro & Market,Miami,Mediterránea,Moderado-Alto,€€ - €€€,+1 305-273-8888,"9630 SW 77th Ave, Miami, FL 33156-2615",35 opiniones,"4,5",http://www.shirazbistro.com/,https://www.shirazbistro.com/menu,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/0d/28/f2/2c/photo1jpg.jpg
Skorpios,Miami,Mediterránea,Moderado-Alto,€€ - €€€,+1 786-329-5905,"3252 NE 1st Avenue Ste 107, Miami, FL 33137",10 opiniones,"3,5",https://www.skorpiosmiami.com/,No disponible,info@skorpiosmiami.com,https://media-cdn.tripadvisor.com/media/photo-s/12/ba/11/01/hummus-and-lamb.jpg
Sobe Hookah Lounge,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-336-2409,"1700 Collins Ave, Miami Beach, FL 33139-2007",3 opiniones,"4,5",http://sobehookah.com/pages/locations-1?_pos=1&_sid=481c9cdae&_ss=r,No disponible,sobehookah@gmail.com,https://media-cdn.tripadvisor.com/media/photo-s/1d/7e/6e/1b/sobe-hookah-lounge.jpg
Sorbillo,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-381-0588,"100 Collins Ave, Miami Beach, FL 33139-7207",52 opiniones,"4,5",http://www.facebook.com/SorbilloPizzeriamiamibeach/,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/19/ee/62/0e/sorbillo.jpg
Sottosale,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 786-634-1005,"8001 Biscayne Blvd, Miami, FL 33138-4620",18 opiniones,"4,5",No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/1a/af/37/f2/tuna-scallops.jpg
Soya & Pomodoro,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-381-9511,"120 NE 1st St, Miami, FL 33132-2502",164 opiniones,"4,5",No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/07/7c/81/be/soya-pomodoro.jpg
Spaghetto,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-373-7731,"100 S Miami Ave, Miami, FL 33130-1627",4 opiniones,"5,0",No disponible,No disponible,spaghettodowntown@gmail.com,https://media-cdn.tripadvisor.com/media/photo-s/06/48/3d/8c/spaghetto.jpg
Spiga,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-534-0079,"1228 Collins Ave, Miami Beach, FL 33139-4607",1174 opiniones,"4,5",http://www.spigarestaurant.com/,http://www.spigarestaurant.com/#italian-dinner-menu-spiga-restaurant,mail@spigarestaurant.com,https://media-cdn.tripadvisor.com/media/photo-s/0a/a2/8d/65/housemade-pappardelle.jpg
Spris Artisan Pizza,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-673-2020,"731 Lincoln Rd, Miami Beach, FL 33139-2813",1167 opiniones,"4,5",No disponible,https://www.tripadvisor.es/Restaurant_Review-g34439-d431922-Reviews-Spris_Artisan_Pizza-Miami_Beach_Florida.html#,info@sprispizza.com,https://media-cdn.tripadvisor.com/media/photo-s/18/58/70/1e/service-with-a-smile.jpg
Spris Artisan Pizza - South Miami,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 786-535-1042,"5748 Sunset Dr, Miami, FL 33143-5316",18 opiniones,"4,0",No disponible,No disponible,david@sprispizza.com,https://media-cdn.tripadvisor.com/media/photo-p/10/75/39/d5/spris-mixed-spread.jpg
Stanzione 87,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 786-360-1852,"87 SW 8th St, Miami, FL 33130-3011",76 opiniones,"4,5",No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/12/68/4c/ae/img-20180322-wa0021-largejpg.jpg
Strada in the Grove,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-444-1312,"3176 Commodore Plaza Coconut Grove, Miami, FL 33133-5818",257 opiniones,"4,5",No disponible,https://www.tripadvisor.es/Restaurant_Review-g34438-d5421513-Reviews-Strada_in_the_Grove-Miami_Florida.html#,info@stradainthegrove.com,https://media-cdn.tripadvisor.com/media/photo-s/06/e4/1f/14/canoli-to-celebrate-birthday.jpg
Sultan Restaurant,Miami,Mediterránea,Moderado-Alto,€€ - €€€,+1 305-531-8598,"1903 Collins Ave Viajo a Miami Desde El Dia 4/6 Hasta El Dia 19/ 6, Miami Beach, FL 33139-1911",413 opiniones,"4,0",http://www.sultanmiami.com/,No disponible,sultanrestaurant@hotmail.com,https://media-cdn.tripadvisor.com/media/photo-s/0b/fe/af/44/caption.jpg
Sylvano Miami,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 786-703-8200,"2426 NE 2nd Ave, Miami, FL 33137",15 opiniones,"5,0",No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/19/2a/95/a4/bellissima-atmosfera.jpg
Sylvano Miami Beach,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-673-3959,"1925 Liberty Ave, Miami Beach, FL 33139-1917",796 opiniones,"4,5",http://www.sylvanos.com/,https://www.tripadvisor.es/Restaurant_Review-g34439-d911067-Reviews-Sylvano_Miami_Beach-Miami_Beach_Florida.html#,No disponible,https://media-cdn.tripadvisor.com/media/photo-p/1b/23/57/6a/photo0jpg.jpg
T.O. Pizza Shop,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-445-0898,"2773 Coral Way, Miami, FL 33145-3201",0 opiniones,No disponible,No disponible,No disponible,topizzashop@gmail.com,https://media-cdn.tripadvisor.com/media/photo-s/04/31/7c/c3/t-o-pizza-shop.jpg
Tapas & Amigos,Miami,Española,Moderado-Alto,€€ - €€€,+1 786-615-9415,"8150 SW 8th St Suite 121, Miami, FL 33144-4263",0 opiniones,No disponible,http://tapasyamigos.business.site/,No disponible,tapasyamigosmiami@gmail.com,No disponible
Tapas y Tintos Midtown,Miami,Española,Moderado-Alto,€€ - €€€,+1 305-392-0506,"3535 NE 2nd Ave, Miami, FL 33137-3808",16 opiniones,"3,5",http://www.tapasytintos.com/,No disponible,info@tapasytintos.com,https://media-cdn.tripadvisor.com/media/photo-s/0f/bc/6e/b9/20170630-211808-largejpg.jpg
Terre Del Sapore,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-446-4456,"246 Giralda Ave, Coral Gables, FL 33134-5013",12 opiniones,"5,0",No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-p/12/69/31/e1/photo1jpg.jpg
The Big Cheese of Miami,Miami,Italiana,Moderado-Alto,€€ - €€€,+13056626855,"8080 Southwest 67th Avenue, Miami, FL 33143",261 opiniones,"4,5",No disponible,No disponible,info@bigcheesemiami.com,https://media-cdn.tripadvisor.com/media/photo-s/11/81/40/8e/fb-img-1513132260610.jpg
The Citadel,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-908-3849,"8300 NE 2nd Ave, Miami, FL 33138-3821",28 opiniones,"4,0",No disponible,No disponible,info@thecitadelmiami.com,https://media-cdn.tripadvisor.com/media/photo-s/19/48/cb/c9/photo3jpg.jpg
The Garden Bar & Grill,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-763-8038,"1131 Collins Ave, Miami Beach, FL 33139-4604",39 opiniones,"3,5",No disponible,No disponible,thegardenbarandgrill@aol.com,https://media-cdn.tripadvisor.com/media/photo-s/04/35/10/fa/getlstd-property-photo.jpg
The Place,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-695-1885,"720 Ocean Dr, Miami Beach, FL 33139-6220",1216 opiniones,"3,5",No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/0f/b7/c1/82/red-snapper.jpg
The Restaurant at W South Beach,Miami,Italiana,Moderado-Alto,€€ - €€€,+13059383112,"2201 Collins Avenue W Hotel South Beach, Miami Beach, FL 33139",43 opiniones,"4,5",No disponible,No disponible,servicedirectory494@gmail.com,https://media-cdn.tripadvisor.com/media/photo-s/1c/c5/8d/60/with-cuisine-influenced.jpg
The Trapiche Room,Miami,Mediterránea,Moderado-Alto,€€ - €€€,+1 305-329-3656,"1109 Brickell Ave Miami Marriott Dadeland, Miami, FL 33131-3101",8 opiniones,"4,0",http://www.marriott.com/hotels/hotel-information/restaurant/MIAJW&scid=d42e66eb-35c2-4d9c-9219-ae39f3a2ca9f,No disponible,No disponible,No disponible
Tortellino Miami,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 786-496-0510,"8099 S Dixie Hwy, Miami, FL 33143-7900",1 opinión,"5,0",No disponible,No disponible,tortellino.miami@gmail.com,https://media-cdn.tripadvisor.com/media/photo-s/1c/eb/a9/a8/spaghetti-meatball.jpg
Toscana Divino,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-371-2767,"900 S Miami Ave Suite 185, Miami, FL 33130-3044",612 opiniones,"4,5",http://www.toscanadivino.com/,https://www.toscanadivino.com/fall-winter-menu/,concierge@toscanadivino.com,https://media-cdn.tripadvisor.com/media/photo-s/0a/66/e5/3b/toscana-divino.jpg
Tutto Pasta,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-857-0709,"1751 SW 3rd Ave. at SW 18 Rd, Miami, FL 33129-1414",130 opiniones,"4,0",No disponible,No disponible,tuttopasta@bellsouth.net,https://media-cdn.tripadvisor.com/media/photo-s/10/f1/68/d1/buratta-and-fresh-tomato.jpg
Tutto Pizza,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-858-0909,"1763 Southwest 3rd Avenue, Miami, FL 33129",99 opiniones,"4,5",No disponible,No disponible,info@tuttopizza.com,https://media-cdn.tripadvisor.com/media/photo-w/11/55/b0/79/tutto-pizza.jpg
Two Brothers Italian Restaurant,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-403-7552,"13740 SW 84th St, Miami, FL 33183-4017",99 opiniones,"4,5",No disponible,No disponible,tommasop@att.net,https://media-cdn.tripadvisor.com/media/photo-s/16/81/47/99/photo0jpg.jpg
Urban Pizza Cafe,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-549-8510,"234 NE 3rd St Cu1a, Miami, FL 33132-2215",2 opiniones,"4,0",No disponible,No disponible,simone.urbanpizza@gmail.com,https://media-cdn.tripadvisor.com/media/photo-s/1d/c7/60/56/soooo-good-this-is-the.jpg
Uvaggio,Miami,Vinoteca,Moderado-Alto,€€ - €€€,+1 305-448-2400,"70 Miracle Mile, Coral Gables, FL 33134-5404",52 opiniones,"5,0",http://uvaggiowine.com/,No disponible,Heath@Uvaggiowine.com,https://media-cdn.tripadvisor.com/media/photo-s/07/37/fb/68/braised-beef-short-rib.jpg
Vero Italian,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-533-1357,"90 SE 1st St, Miami, FL 33131-1008",751 opiniones,"4,5",No disponible,No disponible,reservations@veroitalian.com,https://media-cdn.tripadvisor.com/media/photo-s/27/5e/34/3c/fettuccine-bolognese.jpg
Via Emilia 9,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 786-216-7150,"1120 15th St, Miami Beach, FL 33139-3308",348 opiniones,"4,5",http://www.viaemilia9.com/,https://www.viaemiliagarden.com/menu-lunch---dinner.html,info@viaemilia9.com,https://media-cdn.tripadvisor.com/media/photo-s/0e/9e/20/b1/special-dessert.jpg
Via Verdi,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 786-615-2870,"6900 Biscayne Blvd, Miami, FL 33138-5707",203 opiniones,"4,5",No disponible,https://www.tripadvisor.es/Restaurant_Review-g34438-d5452445-Reviews-Via_Verdi-Miami_Florida.html#,info@viaverdimiami.com,https://media-cdn.tripadvisor.com/media/photo-s/13/a1/d0/72/20180124-132455-largejpg.jpg
Villagio,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-447-8144,"Village of Merrick Park San Lorenzo Avenue, Miami, FL",110 opiniones,"4,0",No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/0d/b9/a1/f3/mesas-en-jardin.jpg
Villagio,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-669-4599,"7491 SW 88th St Suite 2010, Dadeland Mall, Miami, FL 33156-7723",168 opiniones,"4,0",No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/0e/e4/4d/49/photo0jpg.jpg
