,Restaurante,Ciudad,Categoría,Precio_Conver,Precio,Teléfono,Dirección,Reseñas,Valoración,Web,Menú,Email,Imagen,latitude,longitude
1239,Propaganda,Miami,Mediterráneo,Precio no disponible,€€ - €€€,+1 786-615-2555,"97 Northwest 25 St, Miami, FL 33127-4476",11 opiniones,5.0,No disponible,No disponible,reservations@propagandamiami.com,https://media-cdn.tripadvisor.com/media/photo-p/1c/57/cf/a7/photo0jpg.jpg,None,None
1240,Pubbelly Noodle Bar,Miami,Mediterráneo,Precio no disponible,€€ - €€€,+1 305-532-7555,"1418 20th Street, Miami Beach, FL 33139",362 opiniones,5.0,http://pubbellyglobal.com/restaurants/pubbelly-noodle-bar/,http://pubbellyglobal.com/wp-content/uploads/2018/06/Updated-Noodle-menu.pdf,info@pubbelly.com,https://media-cdn.tripadvisor.com/media/photo-p/0a/a4/7f/93/softshell-crab-benedicts.jpg,25.7955732,-80.142516
1241,Pummarola Midtown,Miami,Mediterráneo,Precio no disponible,€€ - €€€,+1 786-535-4988,"3328 N Miami Ave, Miami, FL 33127-3524",170 opiniones,5.0,No disponible,No disponible,info@pummarola.us,https://media-cdn.tripadvisor.com/media/photo-s/17/3f/36/ef/pizza-crema-di-tartufo.jpg,25.8081043,-80.1955393
1242,Red Carpet Italian Restaurant,Miami,Mediterráneo,Precio no disponible,€€ - €€€,+1 305-529-4220,"3438 SW 8th St Flamingo Plaza, Miami, FL 33135-4108",141 opiniones,5.0,No disponible,No disponible,redcarpetitalianrestaurant@gmail.com,https://media-cdn.tripadvisor.com/media/photo-s/1c/ac/a2/1a/seafood-risotto.jpg,None,None
1243,Red Carpet Italian Restaurant Downtown,Miami,Mediterráneo,Precio no disponible,€€ - €€€,+1 786-618-9138,"69 E Flagler St, Miami, FL 33131-1003",2 opiniones,5.0,No disponible,No disponible,redcarpetitalianrestaurant2@gmail.com,https://media-cdn.tripadvisor.com/media/photo-s/1c/ac/a1/13/pappardelle-ai-funghi.jpg,25.7743339,-80.1873329
1244,Restaurante Montecatini Miami,Miami,Mediterráneo,Precio no disponible,€€ - €€€,+1 786-524-4044,"14211 SW 42nd St Unit 33-A, Miami, FL 33175-6408",17 opiniones,5.0,No disponible,No disponible,montecatinirestaurants@gmail.com,https://media-cdn.tripadvisor.com/media/photo-s/1b/07/0a/aa/montecatini-restaurant.jpg,None,None
1245,Rice House of Kabob,Miami,Mediterráneo,Precio no disponible,€€ - €€€,+1 305-418-9464,"1450 NW 87th Ave, Miami, FL 33172-3004",33 opiniones,5.0,http://www.ricehouseofkabob.com/,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/07/8b/8f/3a/joojeh-chicken-lunch.jpg,25.7870242,-80.3374267
1246,Rincon Espanol,Miami,Mediterráneo,Precio no disponible,€€ - €€€,+1 305-740-5858,"9511 S Dixie Hwy, Miami, FL 33156-2802",55 opiniones,5.0,http://www.rinconespanolmiami.com/,https://www.tripadvisor.es/Restaurant_Review-g34438-d1102473-Reviews-Rincon_Espanol-Miami_Florida.html#,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/0b/bc/e7/cb/photo0jpg.jpg,25.6742219,-80.3199444
1247,Rincón Porteño,Miami,Mediterráneo,Precio no disponible,€€ - €€€,+1 305-225-7440,"12214 SW 8th St, Miami, FL 33184-1552",9 opiniones,5.0,No disponible,No disponible,sales@rinconportenomiami.com,https://media-cdn.tripadvisor.com/media/photo-s/1b/67/1d/89/rincon-porteno-entrance.jpg,25.7602673,-80.3944039
1248,Ristorante Terramia,Miami,Mediterráneo,Precio no disponible,€€ - €€€,+1 786-801-1854,"4770 Biscayne Blvd #110, Miami, FL 33137-3202",41 opiniones,5.0,No disponible,No disponible,info@terramiabiscayne.com,https://media-cdn.tripadvisor.com/media/photo-p/13/23/f8/5b/photo0jpg.jpg,None,None
1249,Riviera Focacceria Italiano,Miami,Mediterráneo,Precio no disponible,€€ - €€€,+1 786-220-6251,"3252 NE Buena Vista Avenue Suite 110, Miami, FL 33137",218 opiniones,5.0,No disponible,https://www.tripadvisor.es/Restaurant_Review-g34438-d6610209-Reviews-Riviera_Focacceria_Italiano-Miami_Florida.html#,No disponible,https://media-cdn.tripadvisor.com/media/photo-p/11/b8/0f/0f/photo0jpg.jpg,None,None
1250,Rosetta Bakery,Miami,Mediterráneo,Precio no disponible,€€ - €€€,+1 305-907-7705,"550 NW 1st Ave Suite 240-C15, Miami, FL 33136-4122",9 opiniones,5.0,No disponible,No disponible,tb@rosettabakery.com,https://media-cdn.tripadvisor.com/media/photo-p/19/d9/d7/01/photo0jpg.jpg,None,None
1251,Rosinella,Miami,Mediterráneo,Precio no disponible,€€ - €€€,+1 305-672-8777,"525 Lincoln Rd, Miami Beach, FL 33139-2913",971 opiniones,5.0,http://www.rosinella.net/,https://www.tripadvisor.es/Restaurant_Review-g34439-d438231-Reviews-Rosinella-Miami_Beach_Florida.html#,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/0f/28/0d/9a/photo3jpg.jpg,25.7907783,-80.1336562
1252,Rotelli,Miami,Mediterráneo,Precio no disponible,€€ - €€€,+1 561-355-0525,"11401 NW 12th St # E-500 Dolphin Mall, Miami, FL 33172-6904",135 opiniones,5.0,No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/0e/7b/24/21/photo0jpg.jpg,None,None
1253,Sagra Pizza Bar,Miami,Mediterráneo,Precio no disponible,€€ - €€€,+1 305-384-4759,"11052 Biscayne Blvd, Miami, FL 33161-7462",16 opiniones,5.0,No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/1c/cd/2f/b1/20210330-194628-largejpg.jpg,25.8773955,-80.16862840261396
1254,Salumeria 104,Miami,Mediterráneo,Precio no disponible,€€ - €€€,+1 305-424-9588,"3451 NE 1st Ave #104, Miami, FL 33137-3984",384 opiniones,5.0,No disponible,No disponible,info@graspagroup.com,https://media-cdn.tripadvisor.com/media/photo-s/10/d8/9a/29/outdoor-seating.jpg,None,None
1255,Salumeria 104,Miami,Mediterráneo,Precio no disponible,€€ - €€€,+1 305-640-5547,"117 Miracle Mile, Coral Gables, FL 33134-5405",74 opiniones,5.0,http://www.salumeria104.com/,No disponible,info@salumeria104.com,https://media-cdn.tripadvisor.com/media/photo-s/13/d5/c1/e4/salumeria-104.jpg,25.7498752,-80.2572215
1256,Sancho Restaurant,Miami,Mediterráneo,Precio no disponible,€€ - €€€,+1 305-553-6886,"13202 SW 8th St, Miami, FL 33184-1176",65 opiniones,5.0,http://www.sanchorestaurant.com/,http://www.sanchorestaurantmiami.com/menu/,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/06/3e/6f/f2/fabada-asturiana.jpg,25.7600355,-80.4100675
1257,Sapore Di Mare,Miami,Mediterráneo,Precio no disponible,€€ - €€€,+1 305-476-8292,"3111 Grand Ave Coconut Grove, Miami, FL 33133-5103",298 opiniones,5.0,http://www.saporedimare.com/,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-p/19/5b/13/17/photo0jpg.jpg,25.7282289,-80.2437628
1258,Sardinia Enoteca Ristorante,Miami,Mediterráneo,Precio no disponible,€€ - €€€,+1 305-531-2228,"1801 Purdy Ave, Miami Beach, FL 33139-1425",534 opiniones,5.0,http://www.sardinia-ristorante.com/,http://www.sardinia-ristorante.com/menu,mb@sardinia-ristorante.com,https://media-cdn.tripadvisor.com/media/photo-s/12/2b/5b/92/main-dining-room.jpg,25.7936771,-80.1442665
1259,Schnebly Winery,Miami,Mediterráneo,Precio no disponible,€€ - €€€,+1 305-242-1224,"30205 SW 217th Ave Homested FL 33030, Miami, FL",41 opiniones,5.0,http://www.schneblywinery.com/,http://www.schneblywinery.com/Restaurant/Menu-Lunch,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/17/66/72/5c/photo8jpg.jpg,None,None
1260,Segafredo L'Originale,Miami,Mediterráneo,Precio no disponible,€€ - €€€,+1 305-673-0047,"1040 Lincoln Rd, Miami Beach, FL 33139-2502",358 opiniones,5.0,No disponible,https://www.tripadvisor.es/Restaurant_Review-g34439-d431998-Reviews-Segafredo_L_Originale-Miami_Beach_Florida.html#,info@graspagroup.com,https://media-cdn.tripadvisor.com/media/photo-s/23/90/9c/0e/exterior-of-segafredo.jpg,25.790237949999998,-80.13978216225406
1261,Semilla,Miami,Mediterráneo,Precio no disponible,€€ - €€€,+1 305-674-6522,"1330 Alton Road, Miami Beach, FL 33139",135 opiniones,5.0,https://www.semillamiami.com/,https://www.tripadvisor.es/Restaurant_Review-g34439-d5519689-Reviews-Semilla-Miami_Beach_Florida.html#,frederic@semillamiami.com,https://media-cdn.tripadvisor.com/media/photo-s/16/c1/2c/5e/semilla.jpg,25.7845801,-80.1412522
1262,Sette Osteria,Miami,Mediterráneo,Precio no disponible,€€ - €€€,+1 305-576-8282,"2103 NW 2nd Ave, Miami, FL 33127-4826",37 opiniones,5.0,No disponible,https://www.tripadvisor.es/Restaurant_Review-g34438-d14204847-Reviews-Sette_Osteria-Miami_Florida.html#,No disponible,https://media-cdn.tripadvisor.com/media/photo-p/1a/d9/1f/ce/photo0jpg.jpg,25.7969222,-80.1987714
1263,Seventeen Restaurant,Miami,Mediterráneo,Precio no disponible,€€ - €€€,+1 305-672-0565,"1710 Alton Rd, Miami Beach, FL 33139-2412",11 opiniones,5.0,http://www.17restaurant.com/,http://www.17restaurant.com/menu/17R_Menu_South_Beach.pdf,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/16/7c/a2/a3/the-best-apple-cake.jpg,25.7923753,-80.141451
1264,Shalom-Haifa Restaurant,Miami,Mediterráneo,Precio no disponible,€€ - €€€,+1 305-936-1800,"18533 W Dixie Hwy, Miami, FL 33180-2614",29 opiniones,5.0,http://www.shalomhaifa.com/,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-p/13/84/59/bb/photo0jpg.jpg,25.9470147,-80.1479944
1265,Shiraz Bistro & Market,Miami,Mediterráneo,Precio no disponible,€€ - €€€,+1 305-273-8888,"9630 SW 77th Ave, Miami, FL 33156-2615",35 opiniones,5.0,http://www.shirazbistro.com/,https://www.shirazbistro.com/menu,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/0d/28/f2/2c/photo1jpg.jpg,25.6804362,-80.3189168
1266,Skorpios,Miami,Mediterráneo,Precio no disponible,€€ - €€€,+1 786-329-5905,"3252 NE 1st Avenue Ste 107, Miami, FL 33137",10 opiniones,5.0,https://www.skorpiosmiami.com/,No disponible,info@skorpiosmiami.com,https://media-cdn.tripadvisor.com/media/photo-s/12/ba/11/01/hummus-and-lamb.jpg,None,None
1267,Sobe Hookah Lounge,Miami,Mediterráneo,Precio no disponible,€€ - €€€,+1 305-336-2409,"1700 Collins Ave, Miami Beach, FL 33139-2007",3 opiniones,5.0,http://sobehookah.com/pages/locations-1?_pos=1&_sid=481c9cdae&_ss=r,No disponible,sobehookah@gmail.com,https://media-cdn.tripadvisor.com/media/photo-s/1d/7e/6e/1b/sobe-hookah-lounge.jpg,25.792613,-80.13007127048863
1268,Sorbillo,Miami,Mediterráneo,Precio no disponible,€€ - €€€,+1 305-381-0588,"100 Collins Ave, Miami Beach, FL 33139-7207",52 opiniones,5.0,http://www.facebook.com/SorbilloPizzeriamiamibeach/,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/19/ee/62/0e/sorbillo.jpg,25.769907,-80.1343425
1269,Sottosale,Miami,Mediterráneo,Precio no disponible,€€ - €€€,+1 786-634-1005,"8001 Biscayne Blvd, Miami, FL 33138-4620",18 opiniones,5.0,No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/1a/af/37/f2/tuna-scallops.jpg,25.8488976,-80.1843638
1270,Soya & Pomodoro,Miami,Mediterráneo,Precio no disponible,€€ - €€€,+1 305-381-9511,"120 NE 1st St, Miami, FL 33132-2502",164 opiniones,5.0,No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/07/7c/81/be/soya-pomodoro.jpg,25.7750854,-80.1914169
1271,Spaghetto,Miami,Mediterráneo,Precio no disponible,€€ - €€€,+1 305-373-7731,"100 S Miami Ave, Miami, FL 33130-1627",4 opiniones,5.0,No disponible,No disponible,spaghettodowntown@gmail.com,https://media-cdn.tripadvisor.com/media/photo-s/06/48/3d/8c/spaghetto.jpg,25.7730952,-80.1938246
1272,Spiga,Miami,Mediterráneo,Precio no disponible,€€ - €€€,+1 305-534-0079,"1228 Collins Ave, Miami Beach, FL 33139-4607",1174 opiniones,5.0,http://www.spigarestaurant.com/,http://www.spigarestaurant.com/#italian-dinner-menu-spiga-restaurant,mail@spigarestaurant.com,https://media-cdn.tripadvisor.com/media/photo-s/0a/a2/8d/65/housemade-pappardelle.jpg,25.783416600000002,-80.1314258455084
1273,Spris Artisan Pizza,Miami,Mediterráneo,Precio no disponible,€€ - €€€,+1 305-673-2020,"731 Lincoln Rd, Miami Beach, FL 33139-2813",1167 opiniones,5.0,No disponible,https://www.tripadvisor.es/Restaurant_Review-g34439-d431922-Reviews-Spris_Artisan_Pizza-Miami_Beach_Florida.html#,info@sprispizza.com,https://media-cdn.tripadvisor.com/media/photo-s/18/58/70/1e/service-with-a-smile.jpg,25.790725,-80.1361478
1274,Spris Artisan Pizza - South Miami,Miami,Mediterráneo,Precio no disponible,€€ - €€€,+1 786-535-1042,"5748 Sunset Dr, Miami, FL 33143-5316",18 opiniones,5.0,No disponible,No disponible,david@sprispizza.com,https://media-cdn.tripadvisor.com/media/photo-p/10/75/39/d5/spris-mixed-spread.jpg,25.7042025,-80.2862143
1275,Stanzione 87,Miami,Mediterráneo,Precio no disponible,€€ - €€€,+1 786-360-1852,"87 SW 8th St, Miami, FL 33130-3011",76 opiniones,5.0,No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/12/68/4c/ae/img-20180322-wa0021-largejpg.jpg,25.766283614583333,-80.19496980208334
1276,Strada in the Grove,Miami,Mediterráneo,Precio no disponible,€€ - €€€,+1 305-444-1312,"3176 Commodore Plaza Coconut Grove, Miami, FL 33133-5818",257 opiniones,5.0,No disponible,https://www.tripadvisor.es/Restaurant_Review-g34438-d5421513-Reviews-Strada_in_the_Grove-Miami_Florida.html#,info@stradainthegrove.com,https://media-cdn.tripadvisor.com/media/photo-s/06/e4/1f/14/canoli-to-celebrate-birthday.jpg,None,None
1277,Sultan Restaurant,Miami,Mediterráneo,Precio no disponible,€€ - €€€,+1 305-531-8598,"1903 Collins Ave Viajo a Miami Desde El Dia 4/6 Hasta El Dia 19/ 6, Miami Beach, FL 33139-1911",413 opiniones,5.0,http://www.sultanmiami.com/,No disponible,sultanrestaurant@hotmail.com,https://media-cdn.tripadvisor.com/media/photo-s/0b/fe/af/44/caption.jpg,None,None
1278,Sylvano Miami,Miami,Mediterráneo,Precio no disponible,€€ - €€€,+1 786-703-8200,"2426 NE 2nd Ave, Miami, FL 33137",15 opiniones,5.0,No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/19/2a/95/a4/bellissima-atmosfera.jpg,25.8004295,-80.19119025613094
1279,Sylvano Miami Beach,Miami,Mediterráneo,Precio no disponible,€€ - €€€,+1 305-673-3959,"1925 Liberty Ave, Miami Beach, FL 33139-1917",796 opiniones,5.0,http://www.sylvanos.com/,https://www.tripadvisor.es/Restaurant_Review-g34439-d911067-Reviews-Sylvano_Miami_Beach-Miami_Beach_Florida.html#,No disponible,https://media-cdn.tripadvisor.com/media/photo-p/1b/23/57/6a/photo0jpg.jpg,25.7955619,-80.1302169
1280,T.O. Pizza Shop,Miami,Mediterráneo,Precio no disponible,€€ - €€€,+1 305-445-0898,"2773 Coral Way, Miami, FL 33145-3201",0 opiniones,5.0,No disponible,No disponible,topizzashop@gmail.com,https://media-cdn.tripadvisor.com/media/photo-s/04/31/7c/c3/t-o-pizza-shop.jpg,25.7505172,-80.2398186
1281,Tapas & Amigos,Miami,Mediterráneo,Precio no disponible,€€ - €€€,+1 786-615-9415,"8150 SW 8th St Suite 121, Miami, FL 33144-4263",0 opiniones,5.0,http://tapasyamigos.business.site/,No disponible,tapasyamigosmiami@gmail.com,No disponible,None,None
1282,Tapas y Tintos Midtown,Miami,Mediterráneo,Precio no disponible,€€ - €€€,+1 305-392-0506,"3535 NE 2nd Ave, Miami, FL 33137-3808",16 opiniones,5.0,http://www.tapasytintos.com/,No disponible,info@tapasytintos.com,https://media-cdn.tripadvisor.com/media/photo-s/0f/bc/6e/b9/20170630-211808-largejpg.jpg,25.8098633,-80.19085156727749
1283,Terre Del Sapore,Miami,Mediterráneo,Precio no disponible,€€ - €€€,+1 305-446-4456,"246 Giralda Ave, Coral Gables, FL 33134-5013",12 opiniones,5.0,No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-p/12/69/31/e1/photo1jpg.jpg,25.7509995,-80.2598808
1284,The Big Cheese of Miami,Miami,Mediterráneo,Precio no disponible,€€ - €€€,+13056626855,"8080 Southwest 67th Avenue, Miami, FL 33143",261 opiniones,5.0,No disponible,No disponible,info@bigcheesemiami.com,https://media-cdn.tripadvisor.com/media/photo-s/11/81/40/8e/fb-img-1513132260610.jpg,25.69572315,-80.30143050441075
1285,The Citadel,Miami,Mediterráneo,Precio no disponible,€€ - €€€,+1 305-908-3849,"8300 NE 2nd Ave, Miami, FL 33138-3821",28 opiniones,5.0,No disponible,No disponible,info@thecitadelmiami.com,https://media-cdn.tripadvisor.com/media/photo-s/19/48/cb/c9/photo3jpg.jpg,25.8519073,-80.1932352
1286,The Garden Bar & Grill,Miami,Mediterráneo,Precio no disponible,€€ - €€€,+1 305-763-8038,"1131 Collins Ave, Miami Beach, FL 33139-4604",39 opiniones,5.0,No disponible,No disponible,thegardenbarandgrill@aol.com,https://media-cdn.tripadvisor.com/media/photo-s/04/35/10/fa/getlstd-property-photo.jpg,25.7823885,-80.13098308550741
1287,The Place,Miami,Mediterráneo,Precio no disponible,€€ - €€€,+1 305-695-1885,"720 Ocean Dr, Miami Beach, FL 33139-6220",1216 opiniones,5.0,No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/0f/b7/c1/82/red-snapper.jpg,25.7771597,-80.13165755
1288,The Restaurant at W South Beach,Miami,Mediterráneo,Precio no disponible,€€ - €€€,+13059383112,"2201 Collins Avenue W Hotel South Beach, Miami Beach, FL 33139",43 opiniones,5.0,No disponible,No disponible,servicedirectory494@gmail.com,https://media-cdn.tripadvisor.com/media/photo-s/1c/c5/8d/60/with-cuisine-influenced.jpg,None,None
1289,The Trapiche Room,Miami,Mediterráneo,Precio no disponible,€€ - €€€,+1 305-329-3656,"1109 Brickell Ave Miami Marriott Dadeland, Miami, FL 33131-3101",8 opiniones,5.0,http://www.marriott.com/hotels/hotel-information/restaurant/MIAJW&scid=d42e66eb-35c2-4d9c-9219-ae39f3a2ca9f,No disponible,No disponible,No disponible,None,None
1290,Tortellino Miami,Miami,Mediterráneo,Precio no disponible,€€ - €€€,+1 786-496-0510,"8099 S Dixie Hwy, Miami, FL 33143-7900",1 opinión,5.0,No disponible,No disponible,tortellino.miami@gmail.com,https://media-cdn.tripadvisor.com/media/photo-s/1c/eb/a9/a8/spaghetti-meatball.jpg,25.6952671,-80.2998852
1291,Toscana Divino,Miami,Mediterráneo,Precio no disponible,€€ - €€€,+1 305-371-2767,"900 S Miami Ave Suite 185, Miami, FL 33130-3044",612 opiniones,5.0,http://www.toscanadivino.com/,https://www.toscanadivino.com/fall-winter-menu/,concierge@toscanadivino.com,https://media-cdn.tripadvisor.com/media/photo-s/0a/66/e5/3b/toscana-divino.jpg,None,None
1292,Tutto Pasta,Miami,Mediterráneo,Precio no disponible,€€ - €€€,+1 305-857-0709,"1751 SW 3rd Ave. at SW 18 Rd, Miami, FL 33129-1414",130 opiniones,5.0,No disponible,No disponible,tuttopasta@bellsouth.net,https://media-cdn.tripadvisor.com/media/photo-s/10/f1/68/d1/buratta-and-fresh-tomato.jpg,None,None
1293,Tutto Pizza,Miami,Mediterráneo,Precio no disponible,€€ - €€€,+1 305-858-0909,"1763 Southwest 3rd Avenue, Miami, FL 33129",99 opiniones,5.0,No disponible,No disponible,info@tuttopizza.com,https://media-cdn.tripadvisor.com/media/photo-w/11/55/b0/79/tutto-pizza.jpg,25.760714408163267,-80.20027702040815
1294,Two Brothers Italian Restaurant,Miami,Mediterráneo,Precio no disponible,€€ - €€€,+1 305-403-7552,"13740 SW 84th St, Miami, FL 33183-4017",99 opiniones,5.0,No disponible,No disponible,tommasop@att.net,https://media-cdn.tripadvisor.com/media/photo-s/16/81/47/99/photo0jpg.jpg,25.6878956,-80.4179064
1295,Urban Pizza Cafe,Miami,Mediterráneo,Precio no disponible,€€ - €€€,+1 305-549-8510,"234 NE 3rd St Cu1a, Miami, FL 33132-2215",2 opiniones,5.0,No disponible,No disponible,simone.urbanpizza@gmail.com,https://media-cdn.tripadvisor.com/media/photo-s/1d/c7/60/56/soooo-good-this-is-the.jpg,None,None
1296,Uvaggio,Miami,Mediterráneo,Precio no disponible,€€ - €€€,+1 305-448-2400,"70 Miracle Mile, Coral Gables, FL 33134-5404",52 opiniones,5.0,http://uvaggiowine.com/,No disponible,Heath@Uvaggiowine.com,https://media-cdn.tripadvisor.com/media/photo-s/07/37/fb/68/braised-beef-short-rib.jpg,25.7494192,-80.2560506
1297,Vero Italian,Miami,Mediterráneo,Precio no disponible,€€ - €€€,+1 305-533-1357,"90 SE 1st St, Miami, FL 33131-1008",751 opiniones,5.0,No disponible,No disponible,reservations@veroitalian.com,https://media-cdn.tripadvisor.com/media/photo-s/27/5e/34/3c/fettuccine-bolognese.jpg,25.7732584,-80.191978
1298,Via Emilia 9,Miami,Mediterráneo,Precio no disponible,€€ - €€€,+1 786-216-7150,"1120 15th St, Miami Beach, FL 33139-3308",348 opiniones,5.0,http://www.viaemilia9.com/,https://www.viaemiliagarden.com/menu-lunch---dinner.html,info@viaemilia9.com,https://media-cdn.tripadvisor.com/media/photo-s/0e/9e/20/b1/special-dessert.jpg,25.7872001,-80.1403446
1299,Via Verdi,Miami,Mediterráneo,Precio no disponible,€€ - €€€,+1 786-615-2870,"6900 Biscayne Blvd, Miami, FL 33138-5707",203 opiniones,5.0,No disponible,https://www.tripadvisor.es/Restaurant_Review-g34438-d5452445-Reviews-Via_Verdi-Miami_Florida.html#,info@viaverdimiami.com,https://media-cdn.tripadvisor.com/media/photo-s/13/a1/d0/72/20180124-132455-largejpg.jpg,25.8390803,-80.1846379
1300,Villagio,Miami,Mediterráneo,Precio no disponible,€€ - €€€,+1 305-447-8144,"Village of Merrick Park San Lorenzo Avenue, Miami, FL",110 opiniones,5.0,No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/0d/b9/a1/f3/mesas-en-jardin.jpg,None,None
1301,Villagio,Miami,Mediterráneo,Precio no disponible,€€ - €€€,+1 305-669-4599,"7491 SW 88th St Suite 2010, Dadeland Mall, Miami, FL 33156-7723",168 opiniones,5.0,No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/0e/e4/4d/49/photo0jpg.jpg,None,None
1302,Winewood,Miami,Mediterráneo,Precio no disponible,€€ - €€€,+1 305-754-8282,"7251 Biscayne Blvd, Miami, FL 33138-5117",26 opiniones,5.0,http://winewood-miami.sites.tablehero.com/,http://winewood-miami.sites.tablehero.com/#menu,winewood1@icloud.com,https://media-cdn.tripadvisor.com/media/photo-s/0d/a3/c5/f7/restaurangens-huvudbyggnad.jpg,25.84182,-80.184277
1303,Xixón Spanish Restaurant,Miami,Mediterráneo,Precio no disponible,€€ - €€€,+1 305-854-9350,"2101 SW 22nd Street, Coral Gables, FL 33145-2627",455 opiniones,5.0,http://www.xixonspanishrestaurant.com/,https://www.tripadvisor.es/Restaurant_Review-g34152-d1034320-Reviews-Xixon_Spanish_Restaurant-Coral_Gables_Florida.html#,info@xixonspanishrestaurant.com,https://media-cdn.tripadvisor.com/media/photo-s/13/f6/cf/7b/nuestra-vinoteca-con.jpg,25.7508958,-80.2282959
1304,Alloy Bistro Gourmet,Miami,Mediterráneo,Precio no disponible,€€€€,+1 786-773-2742,"154 Southeast 1st Avenue, Miami, FL 33131",71 opiniones,5.0,No disponible,No disponible,servicedirectory494@gmail.com,https://media-cdn.tripadvisor.com/media/photo-s/19/96/04/f4/seating-at-our-patio.jpg,25.7727407,-80.19229642514739
1305,Amalia Restaurant Miami Beach,Miami,Mediterráneo,Precio no disponible,€€€€,+1 786-583-0510,"1900 Collins Ave The Lennox Hotel, Miami Beach, FL 33139-1912",28 opiniones,5.0,http://www.lennoxmiamibeach.com/sip-savor,https://www.lennoxmiamibeach.com/sip-savor,mcastro@dhmhotels.com,https://media-cdn.tripadvisor.com/media/photo-s/22/e4/24/7f/amalia.jpg,None,None
1306,Bagatelle Miami,Miami,Mediterráneo,Precio no disponible,€€€€,+1 305-704-3900,"1669 Collins Ave, Miami Beach, FL 33139-3136",239 opiniones,5.0,No disponible,https://www.tripadvisor.es/Restaurant_Review-g34439-d7911904-Reviews-Bagatelle_Miami-Miami_Beach_Florida.html#,miami@bagatelle.com,https://media-cdn.tripadvisor.com/media/photo-s/22/84/99/a9/bagatelle-miami.jpg,25.7910077,-80.1295841
1307,Bellini Restaurant,Miami,Mediterráneo,Precio no disponible,€€€€,+1 305-800-6672,"2988 McFarlane Rd, Miami, FL 33133-6011",56 opiniones,5.0,No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-p/1a/ed/15/12/photo5jpg.jpg,25.7273055,-80.24220418136287
1308,Bizcaya Restaurant,Miami,Mediterráneo,Precio no disponible,€€€€,+1 305-644-4680,"3300 SW 27th Ave The Ritz-Carlton Coconut Grove, Miami, FL 33133-5305",29 opiniones,5.0,http://www.marriott.com/hotels/hotel-information/restaurant/MIARZ&scid=d42e66eb-35c2-4d9c-9219-ae39f3a2ca9f,https://www.tripadvisor.es/Restaurant_Review-g34438-d495779-Reviews-Bizcaya_Restaurant-Miami_Florida.html#,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/08/bd/7b/97/bizcaya-restaurant.jpg,None,None
1309,Boulud Sud Miami,Miami,Mediterráneo,Precio no disponible,€€€€,+1 305-421-8800,"255 Biscayne Boulevard Way Located in the lobby in downtown JW Marriott marquis, Miami, FL 33131",127 opiniones,5.0,http://www.bouludsud.com/miami,https://www.bouludsud.com/miami/menus-2/,miamiinquiry@danielnyc.com,https://media-cdn.tripadvisor.com/media/photo-s/23/5c/d2/03/boulud-sud-miami.jpg,None,None
1310,Caffe Abbracci,Miami,Mediterráneo,Precio no disponible,€€€€,+1 305-441-0700,"318 Aragon Ave, Coral Gables, FL 33134-5011",429 opiniones,5.0,No disponible,No disponible,CaffeAbbracci@comcast.net,https://media-cdn.tripadvisor.com/media/photo-s/0f/04/b3/d4/photo0jpg.jpg,25.7501029,-80.2611831
1311,Carbone,Miami,Mediterráneo,Precio no disponible,€€€€,+1 212-254-3000,"49 Collins Ave, Miami Beach, FL 33139-7489",74 opiniones,5.0,http://carbonemiami.com/,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/1c/fe/ca/57/before-you-pick.jpg,25.7692696,-80.133835
1312,Casa Tua,Miami,Mediterráneo,Precio no disponible,€€€€,+1 305-673-1010,"1700 James Ave Casa Tua Hotel, Miami Beach, FL 33139-7507",1415 opiniones,5.0,No disponible,No disponible,info@casatualifestyle.com,https://media-cdn.tripadvisor.com/media/photo-s/03/7b/fb/b9/casa-tua.jpg,None,None
